,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,formation,id,order_series,smooth
0,3498247.777,7511300.05,245.0191012,0.515047337,0.323631142,0.578931373,0.156434465,1.00E-12,0.987688341,9,90,1,OVB,OVB_Series,1,1,0.01
1,3499314.91,7514199.97,221.4434892,0.671982353,0.7501,0.575464289,-0.017452406,1.00E-12,0.999847695,1,270,1,OVB,OVB_Series,1,1,0.01
2,3498789.985,7512150.01,231.5309348,0.594785684,0.448628201,0.576947772,-0.026176948,1.00E-12,0.999657325,1.5,270,1,OVB,OVB_Series,1,1,0.01
3,3498818,7511750,-775.321891,0.598905634,0.389801817,0.428877696,0.224951054,1.00E-12,0.974370065,13,90,1,UPX,UPXO_Series,2,2,0.01
4,3498338,7511750,-499.788843,0.528315737,0.389801817,0.469398215,0.390731128,1.00E-12,0.920504853,23,90,1,UPX,UPXO_Series,2,2,0.01
5,3496503.272,7511750,25.30680806,0.258496448,0.389801817,0.546619981,0.052335956,1.00E-12,0.998629535,3,90,1,UPX,UPXO_Series,2,2,0.01
